job_title,company_name,rating,experience,salary,location,job_description,skills
OpenShift Cloud Developer,IBM,4.1,3-8 Yrs,Not disclosed,Bengaluru,Your Role and Responsibilities Our OpenShift on Z team is responsible for enhancing and...,"c++,hypervisor,linux,c,unix,kubernetes,continuous integration,golang"
Cloud Developer,IBM,4.1,8-13 Yrs,Not disclosed,Bengaluru,"The shift toward the consumption of IT as a service, i.e., the cloud, is one of the mos...","soa,web services,golang,linux,scrum,kubernetes,continuous integration,c++"
Cloud Developer,IBM,4.1,5-10 Yrs,Not disclosed,Bengaluru,"Introduction The shift toward the consumption of IT as a service, i.e., the cloud, is o...","python,linux,scrum,bash,mysql,kubernetes,continuous integration,cloud services"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Indore,2 year(s) of experience is required. Educational Qualification : 15 years full time edu...,"python,microsoft azure,microsoft windows server administration,windows server,aws,project management,vmware,dns"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Coimbatore,Educational Qualification : 15 years full time education. Summary :As a Cloud Platform ...,"python,microsoft azure,microsoft windows server administration,microsoft windows,aws,project management,vmware,dns"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Bhubaneswar,Educational Qualification : 15 years full time education. Summary :As a Cloud Platform ...,"python,microsoft azure,microsoft windows server administration,windows server,aws,project management,vmware,dns"
AWS Cloud Engineer,N-hance,None,3-8 Yrs,Not disclosed,Bengaluru,"Proven experience in designing, deploying, and managing cloud infrastructureExperience ...","Cloud computing,Automation,cloud security,Infrastructure management,Cloud,Data processing,Apache,AWS"
DevOps Developer,IBM,4.1,3-6 Yrs,Not disclosed,Bengaluru,"Your Role and ResponsibilitiesWe are seeking a cloud backend and automation engineer, w...","ibm cloud,golang,docker,devops,linux,container,kubernetes,continuous integration"
DevOps Developer,IBM,4.1,3-7 Yrs,Not disclosed,"Hyderabad, Bengaluru",". Identifying, testing and managing risk: They must identify and evaluate the risk to e...","rpa,software development,devops,jenkins,aws,c#,project management,python"
"Manager, Software Engineering",Planview,3.3,5-8 Yrs,Not disclosed,Bengaluru,Paid time to volunteer through Planview s Force for Good WeekIn addition to building a ...,"Cloud computing,Software design,Enterprise architecture,TDD,Project management,Agile,Unit testing,software quality"
AWS Developer,Capgemini,3.8,9-12 Yrs,Not disclosed,Kolkata,"Primary SkillsAWS, AWS Cloud Development Kit, Amazon EKS, CASE, CICD, DevOps, Git, GitL...","AWS,configuration management,.Net core,computer science,configuration,cloud providers,cloud computing,.NET Framework 6"
Cloud Migration Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Coimbatore,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"commvault,veeam,linux,microsoft windows,cloud infrastructure,dpm,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,7-12 Yrs,Not disclosed,Bhubaneswar,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"cloud technologies,docker,cloud applications,terraform,cloud automation devops,kubernetes,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,7-12 Yrs,Not disclosed,Coimbatore,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"commvault,storage area network,microsoft windows,linux,cloud infrastructure,dpm,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Coimbatore,Educational Qualification : BE Computer Science Graduate. Summary :As a Cloud Migration...,"docker,cloud applications,devops,terraform,cloud automation devops,kubernetes,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,7-12 Yrs,Not disclosed,Coimbatore,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"cloud applications,devops,terraform,cloud computing,cloud automation devops,python,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,7-12 Yrs,Not disclosed,Coimbatore,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"commvault,storage area network,microsoft windows,linux,cloud infrastructure,dpm,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,5-10 Yrs,Not disclosed,Coimbatore,Educational Qualification : BE Computer Science Graduate. Summary :As a Cloud Migration...,"docker,cloud applications,devops,terraform,cloud automation devops,kubernetes,cloud migration,vmware"
Cloud Migration Engineer,Accenture,4.0,7-12 Yrs,Not disclosed,Coimbatore,Project Role :Cloud Migration EngineerProject Role Description :Provides assessment of ...,"cloud applications,devops,terraform,cloud computing,cloud automation devops,python,cloud migration,vmware"
