job_title,company_name,rating,experience,salary,location,job_description,skills
Software developer,Ipropal,,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",iProPal (ALLPS) is looking for Software developer to join our dynamic team and embark o...,"c++,css,hibernate,jquery,sql,spring,java,oops"
Data Engineer - Python/ ETL/ Pyspark/ SQL,4Bell Technology,,4-9 Yrs,Not disclosed,"Hyderabad, Chennai, Bengaluru","Tech Stack - AWS Big Data Stack Expertise in ETL, SQL, Python and AWS tools like Redshi...","Data Engineering,Pyspark,SSAS,Snowflake,DBT,Data Engineer,ETL,SSIS"
Embedded Software Engineer ( IOT Applications and Analytics ),Episteme Soft,,0-2 Yrs,Not disclosed,Bengaluru,0 - 2 years of experience in Embedded Software Development in C programming language Ha...,"Wireless,software,GPRS,VLAN,tools,cloud,coding,4G"
Software Developer (MVC+ASP.NET),Goomi Technology,3.4,0-3 Yrs,Not disclosed,Lucknow,Goomi Technology is looking for Software Developer (MVC+ASP.NET) to join our dynamic te...,"css,web application,web services,ado.net,ajax,jquery,sql,java"
Backend Developer,IBM,4.1,2-3 Yrs,Not disclosed,Bengaluru,"At IBM, work is more than a job - it's a callingTo build. To design. To code. To consul...","algorithms,software development,enterprise applications,microservices,java,rdbms,oracle,software testing"
Software Developer,Acciojob,4.1,0-4 Yrs,7 Lacs PA,Noida,"Degree : BTech / BE, MTech/ MSc, All Branches. Graduation Year : 2020 / 2021/2022 / 202...","DSA,OOPS,Data Structures And Algorithms,Java,C++,C,Javascript,SQL"
Big Data Developer,IQVIA,4.0,2-7 Yrs,Not disclosed,"Hybrid - Kochi, Chennai(Chennai Central RS)","Shell Script -> Shell scripts are used for batch processing of data, it can be used for...","SCALA,Big Data,Spark,SQL,Hive,Hadoop,Mapreduce,Hdfs"
Junior Python Developer,Siemens,4.1,0-4 Yrs,Not disclosed,Bengaluru,  Hello Visionary!      We empower our people to stay resilient and relevant in a const...,"DTS,Javascript,Agile,Data structures,Healthcare,HTML,Scrum,Test cases"
CONTENT CREATOR,Kilonewtons,,0-3 Yrs,Not disclosed,Mumbai,"To be successful in this role, you should have experience with digital publishing and g...","Content management,Publishing,PDF,Web technologies,Time management,Management systems,Social media,Wordpress"
AI Multimedia Creator / AI Designer / AI Content Generation Specialist,Ultra Media and Entertainment,3.4,0-3 Yrs,2.25-5 Lacs PA,Mumbai(Andheri West),Roles and ResponsibilitiesDevelop creative concepts for multimedia projects using AI to...,"Designer,Content Creation,AI Content Creation,Artificial Intelligence,Multimedia,Design,Content Generation,Generation"
Test Engineer,Callstreet Global Services,4.3,2-6 Yrs,Not disclosed,Chennai,"Job_Description"":""  A software quality engineer is responsible for designing test scena...","Automation,Test case execution,Manual testing,MIS,Black Box Testing,Test scenarios,Test cases,software quality"
Freelance Graphics Designer,Enmain,,0-1 Yrs,Not disclosed,Kochi,Proven experience as a graphic designer or in a similar role,"Graphics,Graphic designing,Illustrator,Social media,Project management,Video editing,Photoshop,Print media"
Content Creator / Live Streamer,Project Starscape Pvt Ltd,,0 Yrs,1.25-6 Lacs PA,Remote,No prior experience requiredjust bring your enthusiasm and creativity. . As part of our...,"Creativity,consistency in streaming,time management,audience engagement,adaptability,knowledge of Moj,YouTube,content planning"
Graphic Designer,SV Prints,,0-2 Yrs,1.75-2.5 Lacs PA,Chennai,Designing pharma artworks and aligning jobs in Corel draw,"Corel Draw,Illustrator,Photoshop,Graphic Designing,Graphics,Draw,Corel,Design"
Solution Architect,Accenture,4.0,15-20 Yrs,Not disclosed,Bengaluru,Collaborate with the Sales Pursuit and Delivery Teams to develop a winnable and deliver...,"presentation skills,plm,devops,agile,sdlc,architecting,it transformation,enterprise architecture"
Java Full Stack Developer,L&T Infotech (LTI),,5-10 Yrs,16-31 Lacs PA,"Hyderabad, Chennai",Roles and ResponsibilitiesParticipate in code reviews to ensure adherence to coding sta...,"Java Fullstack,Azure Aws,Cloud,react,AWS,Angular,Full Stack,Development"
Content Creator,Navneet Education,4.5,0-2 Yrs,1.25-2.5 Lacs PA,Ahmedabad,1.Create high-quality multimedia content for blogs & social media 2.Manage social media...,"Content Development,Social Media Content,Content Strategy,Video Editing,Social media,Editing,Video,Content"
