job_title,company_name,rating,experience,salary,location,job_description,skills
Python Developer (Data Science),Coreinsightsai,,1-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",- Experience in designing and implementing scalable data science architectures,"Solution architecture,data science,Debugging,Programming,Manager Technology,Room,Python,Testing"
Java Developer,Tanla Platforms,3.2,3-8 Yrs,7-15 Lacs PA,Bengaluru,Role: Java Backend Developer Location: Bangalore Role & responsibilitiesDevelop code us...,"Rabbitmq,Java Development,Kafka,J2Ee,Spring Boot,Boot,Spring,Java"
Python - Team Lead,Leading Client,,6-8 Yrs,Not disclosed,"Pune, Chennai, Bangalore/Bengaluru","• Lead and mentor a team of Python developers, fostering a culture of collaboration and...","Python,Tensorflow,Software Development,Django,Pytest,Robot Framework,Software,Framework"
Cloud Platform Engineer,Accenture,4.0,0-2 Yrs,Not disclosed,Bengaluru,Educational Qualification : 15 years full time education. Summary :As a Cloud Platform ...,"linux internals,docker,cloud architecture,infrastructure,linux,kubernetes,python,project management"
Python Developer,Data Software Research Company Pvt Ltd.,3.8,3-6 Yrs,Not disclosed,Chennai,"Proficient with frontend frameworks especially Bootstrap Creative mindset, lateral thin...","Printing,jQuery,PDF,Postgresql,Django,Web development,Javascript,Data structures"
Senior Developer - Python( Bangalore Kolkata- Only F2F Interview),A global business consulting firm ,,6-11 Yrs,12-22 Lacs PA,"Kolkata, Bengaluru",Minimum of 4 live project roll outs. Experience with third-party libraries and APIs. In...,"Python,Docker. Flask,Django,PostgreSQL,Fast API,Senior,Interviewing,Docker"
Marketing Executive,Taragana,,0-2 Yrs,Not disclosed,Kolkata,"Hands on experience in initiating and leading PPC & CPM campaigns, proven track record ...","Promotional campaigns,PPC,Product Marketing Executive,Online marketing,Online branding,Marketing campaigns,Creative writing,SEO"
AWS Cloud Engineer,N-hance,,3-8 Yrs,Not disclosed,Bengaluru,"Proven experience in designing, deploying, and managing cloud infrastructureExperience ...","Cloud computing,Automation,cloud security,Infrastructure management,Cloud,Data processing,Apache,AWS"
Java Developer (3+ years),Infosys,3.8,3-8 Yrs,Not disclosed,"Hybrid - Hyderabad, Pune, Bengaluru", Job description:Hiring Java Developer's with experience range 3 years & above.Mandator...,"Java,Hibernate,Spring Mvc,Struts,Spring Boot,Spring,Boot,Development"
Java Developer,Superior Electric Machines,,6-8 Yrs,Not disclosed,"Noida, Gurugram, Bengaluru",We are looking for Java DeveloperHands on experience of minimum 5+ years into Java (any...,"java,spring,spring boot,oops,Kafka,Rabbit,AWS,microservices"
Senior Python Developer,Siemens,4.1,0-8 Yrs,Not disclosed,Bengaluru,Experience with developing and deploying web applications on the cloud with solid under...,"Front end,Application programming,Agile,Siemens,Healthcare,Data processing,Scrum,Technical documentation"
Python Developer,Esoft Solutions,,2-5 Yrs,Not disclosed,Mumbai,  Coordinating with development teams to determine application requirements.   Writing ...,"Python,Development,Python Development"
Python Developer I 6 To 9 YEARS I PUNE & BENGALURU,Capgemini,3.8,6-9 Yrs,Not disclosed,Pune,"Good team spirit, speak up culture Flask (preferably) Experience in Agile / Devops cont...","python development,numpy,pandas,git,flask,matlab,continuous integration,python"
Python Developer,Vaisesika Consulting,4.8,5-10 Yrs,Not disclosed,Hybrid - Bengaluru,Backend development experience using languages such as Python with Django /Flask / Fast...,"Python,Django,Pandas,Rest API,Python Development,Numpy,SQL,Flask"
Sr Advanced Embedded Engineer,Honeywell,4.0,3-7 Yrs,Not disclosed,"Greater Noida, Bengaluru",The role is required to demonstrate thought leadership in embedded software architectur...,"Graphics,Aerospace,Coding,Architectural design,Agile,Software development life cycle,Application development,Competitive intelligence"
